cao_number;id;ingangsdatum;expiratiedatum;datum_kennisgeving;pdf_name;page_name;main_link_url
748;748009;01/04/2013;31/03/2014;06/01/2014;Cao_voor_het_Slagersbedrijf_1_4_13_tm_31_3_14.pdf;748 - SLAGERSBEDRIJF - 01-04-2013 - 31-03-2014 - Regulier - kvo datum - 06-01-2014;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8327&mSelod=704755
748;748010;01/04/2014;31/03/2015;21/01/2015;Cao_voor_het_Slagersbedrijf_1_4_14_tm_31_3_15.pdf;748 - SLAGERSBEDRIJF - 01-04-2014 - 31-03-2015 - Regulier - kvo datum - 21-01-2015;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8329&mSelod=704755
748;748011;01/04/2014;31/03/2015;23/12/2014;Cao_voor_het_Slagersbedrijf_1_4_14_tm_31_3_15_1.pdf;748 - SLAGERSBEDRIJF - 01-04-2014 - 31-03-2015 - Regulier - kvo datum - 23-12-2014;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8328&mSelod=704755
748;748012;01/04/2015;31/03/2016;12/11/2015;Cao_Slagersbedrijf_1_4_15_tm_31_3_16.pdf;748 - SLAGERSBEDRIJF - 01-04-2015 - 31-03-2016 - Regulier - kvo datum - 12-11-2015;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8330&mSelod=704755
748;748013;01/04/2016;30/09/2017;05/07/2017;Cao_Slagersbedrijf__versie_1_7_17.pdf;748 - SLAGERSBEDRIJF - 01-04-2016 - 30-09-2017 - Regulier - kvo datum - 05-07-2017 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8332&mSelod=704755
748;748014;01/04/2016;30/09/2017;19/07/2016;Cao_Slagers_1_4_16_tm_30_9_17.pdf;748 - SLAGERSBEDRIJF - 01-04-2016 - 30-09-2017 - Regulier - kvo datum - 19-07-2016;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8331&mSelod=704755
748;748015;01/10/2017;31/12/2018;05/10/2018;Cao_Slagersbedrijf_1_10_17_tm_31_12_18_na_ttw.pdf;748 - SLAGERSBEDRIJF - 01-10-2017 - 31-12-2018 - Regulier - kvo datum - 05-10-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8335&mSelod=704755
748;748016;01/10/2017;31/12/2018;21/06/2018;Cao_Slagersbedrijf_1_10_17_tm_31_12_18___def.pdf;748 - SLAGERSBEDRIJF - 01-10-2017 - 31-12-2018 - Regulier - kvo datum - 21-06-2018;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8333&mSelod=704755
748;748017;01/10/2017;31/12/2018;24/07/2018;Cao_Slagersbedrijf_1_10_17_tm_31_12_18_na_ttw_1.pdf;748 - SLAGERSBEDRIJF - 01-10-2017 - 31-12-2018 - Regulier - kvo datum - 24-07-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8334&mSelod=704755
1639;1639001;01/01/2016;30/04/2017;23/06/2016;Cao_DHZ_branche_2015_17_getekend.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2016 - 30-04-2017 - Regulier - kvo datum - 23-06-2016;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9788&mSelod=704757
1639;1639002;01/01/2022;31/12/2023;01/07/2022;CAO-DHZ 2022-2023 geschoond.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2022 - 31-12-2023 - Regulier - kvo datum - 01-07-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=30420&mSelod=704757
1639;1639003;01/01/2022;31/12/2023;19/12/2022;cao DHZ 2022-2023 nieuw geschoond.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2022 - 31-12-2023 - Regulier - kvo datum - 19-12-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=32203&mSelod=704757
1639;1639004;01/01/2024;30/06/2026;02/05/2024;cao DHZ 2024-2026_def_april_2024.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2024 - 30-06-2026 - Regulier - kvo datum - 02-05-2024 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=42593&mSelod=704757
1639;1639005;01/01/2024;30/06/2026;03/12/2024;cao DHZ 2024-2026_def_dec_2024.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2024 - 30-06-2026 - Regulier - kvo datum - 03-12-2024 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=45232&mSelod=704757
1639;1639006;01/01/2024;30/06/2026;08/01/2024;cao DHZ 2024-2026_def_dec_2023.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2024 - 30-06-2026 - Regulier - kvo datum - 08-01-2024;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=41072&mSelod=704757
1639;1639007;01/01/2024;30/06/2026;10/06/2025;cao DHZ 2024-2026_def_juni_2025.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2024 - 30-06-2026 - Regulier - kvo datum - 10-06-2025 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=48564&mSelod=704757
1639;1639008;01/01/2024;30/06/2026;17/05/2024;cao DHZ 2024-2026_def_mei_2024.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-01-2024 - 30-06-2026 - Regulier - kvo datum - 17-05-2024 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=42739&mSelod=704757
1639;1639009;01/05/2017;30/04/2020;04/04/2019;CAO-DHZ 2017-2020 wijzigingen geaccepteerd.doc .pdf;1639 - DOE-HET-ZELFBRANCHE - 01-05-2017 - 30-04-2020 - Regulier - kvo datum - 04-04-2019;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=13739&mSelod=704757
1639;1639010;01/05/2020;31/12/2021;19/04/2021;cao VWDHZ in pdf met handtekeningen.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-05-2020 - 31-12-2021 - Regulier - kvo datum - 19-04-2021;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22614&mSelod=704757
1639;1639011;01/07/2009;30/06/2011;09/03/2011;Dhz-cao 2009-2011 def.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-07-2009 - 30-06-2011 - Regulier - kvo datum - 09-03-2011;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9785&mSelod=704757
1639;1639012;01/07/2011;30/06/2012;06/06/2012;Dhz_cao_2009_2011_def.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-07-2011 - 30-06-2012 - Regulier - kvo datum - 06-06-2012;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9786&mSelod=704757
1639;1639013;01/07/2012;30/06/2013;15/01/2013;CAO_DHZ_2012_13_def.pdf;1639 - DOE-HET-ZELFBRANCHE - 01-07-2012 - 30-06-2013 - Regulier - kvo datum - 15-01-2013;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9787&mSelod=704757
750;750001;01/01/2018;31/12/2022;01/05/2018;cao_definitief.pdf;750 - CONTRACTCATERINGBRANCHE - 01-01-2018 - 31-12-2022 - Regulier - kvo datum - 01-05-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8349&mSelod=704759
750;750002;01/01/2018;31/12/2022;14/03/2018;cao_definitief_1.pdf;750 - CONTRACTCATERINGBRANCHE - 01-01-2018 - 31-12-2022 - Regulier - kvo datum - 14-03-2018;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8348&mSelod=704759
